name,breed,rare_gen,price,age,life_expectancy,description_length,description,region,date,image_url
Щенки венгерской выжлы,Венгерская короткошерстая легавая (выжлы),False,75000,0.5,12,6,собака,Санкт-Петербург,25.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/43/49/94/671608_130x130.jpg
Щенки венгерской выжлы,Венгерская короткошерстая легавая (выжлы),False,75000,0.5,12,6,собака,Санкт-Петербург,25.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/33/03/48/671610_130x130.jpg
Самый Красивый мальчик Рокки ищет,Лабрадор ретривер,False,15000,0.4,12,189,"2.5 месяца... Добрый,игривый очень ласковый.. Обработан от паразитов, готов к первой прививке.. Найден на свалке в СПб.. Отдаём по договору,лицам старше 25 лет.. В семью без маленьких детей",Санкт-Петербург,25.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/17/73/82/671613_130x130.jpg
Щенки Чихуахуа,Чихуахуа,True,12000,0.5,15,250,Чихуахуа щенки короткошерстные и длинношерстные малыши от Красивых выставочных родителей Чемпионов. Щенки с цветной генетикой. Здоровы Веселые шустрые документы РКФ . клеймо. вакцинация по возрасту. Доставки нет ! Москва - м. Электрозаводская - Ба...,Москва,25.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/73/f0/59/671619_130x130.jpg
Такса жесткошерстная - щенки питомника,Такса (Дексхунд),False,60000,0.5,15,260,Племенной питомник РКФ &quotИз Ново-Переделкино&quot специализируется на разведение жесткошерстных такс разного окраса. Щенки передаются владельцам полностью привитыми и чипированными. Есть доставка в регионы России. Подробнее о наличии на сайте питомника и...,Москва,20.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/4e/84/20/671499_130x130.jpg
Щенки Бигля от рабочих родителей,Бигль,False,60000,0.5,12,262,"Вашему вниманию для резерва предлагаются щенки бигля , рожденные 16.11.2024. Эксклюзивное предложение. Нет аналогов по Красноярскому краю и прилегающим округам. Собираю резерв на щенков бигля от рабочих родителей. К переезду будут готовы после первой прививки...",Красноярск,18.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
Джек Рассел терьер заберите,Джек рассел терьер,False,17000,0.7,13,58,Заберите собаку Джек Рассел 8 месяцев WhatsApp: 9882406863,Москва,17.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/92/e9/a3/671455_130x130.jpg
Джек Рассел терьер заберите,Джек рассел терьер,False,17000,0.7,13,58,Заберите собаку Джек Рассел 8 месяцев WhatsApp: 9882406863,Москва,17.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/5d/a0/63/671460_130x130.jpg
Кавалер Кинг чарльз спаниель,Кавалер кинг чарльз спаниель,False,50000,0.5,12,260,"Открыты для бронирования 2 девочки и мальчик ККЧС. ДР 10.10.24г. Окрас бленхейм. Будут готовы к переезду после 10.12.24. Будут иметь документы, прививки, клеймо. Мальчик - 50 тыс рб, девочки -90 тыс. Дополнительная информация по телефону 8 9514431858, Татьяна.",Челябинск,14.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/36/ce/eb/671443_130x130.jpg
Кавалер Кинг чарльз спаниель,Кавалер кинг чарльз спаниель,False,50000,0.5,12,260,"Открыты для бронирования 2 девочки и мальчик ККЧС. ДР 10.10.24г. Окрас бленхейм. Будут готовы к переезду после 10.12.24. Будут иметь документы, прививки, клеймо. Мальчик - 50 тыс рб, девочки -90 тыс. Дополнительная информация по телефону 8 9514431858, Татьяна.",Челябинск,14.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/ee/d9/d1/671444_130x130.jpg
Сиба ину,Сиба-ину,True,85000,0.5,13,238,"️ ШЕНКИ СИБА ИНУ - МАЛЬЧИКИ ️ Для выставок, разведения и настоящих ценителей породы УСПЕЙТЕ ЗАБРОНИРОВАТЬ ПРЯМО СЕЙЧАС! Дата рождения: 18.09.2024 Город: Москва ️ ОРГАНИЗУЕМ ДОСТАВКУ ПО РОССИИ ️ Не в Москве? Покажем щенка по видеосвязи!...",Москва,12.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/99/2f/cf/671430_130x130.jpg
Шикарные щенки Ам. Стафф,Американский стаффордширский терьер,False,80000,0.5,12,6,собака,Москва,08.11.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/ab/be/f6/671352_130x130.jpg
Щенок АУССИ,Английский сеттер,False,45000,0.5,12,78,"Продам щенка австралийской овчарки 5 мес привит, с документами Гуляет на улицу",Москва,28.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/15/dc/f3/671190_130x130.jpg
Продаются щенки,Брюссельский гриффон,False,50000,0.2,15,263,"Продаются щенки брюссельского грифона темно рыжего окраса и пти брабансона черный подпал, щенкам мальчикам 2 месяца, ярка маска, правильная голова, хорошая шерсть, зубы 6*6, правильный костяк, клеймо, родословная РКФ, помет от 25 августа 2024 года, щенкам 2 ме...",Москва,27.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/67/73/f9/671163_130x130.jpg
Продаются щенки,Брюссельский гриффон,False,50000,0.2,15,263,"Продаются щенки брюссельского грифона темно рыжего окраса и пти брабансона черный подпал, щенкам мальчикам 2 месяца, ярка маска, правильная голова, хорошая шерсть, зубы 6*6, правильный костяк, клеймо, родословная РКФ, помет от 25 августа 2024 года, щенкам 2 ме...",Москва,27.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/b4/eb/d8/671166_130x130.jpg
Продаются щенки,Брюссельский гриффон,False,50000,0.2,15,263,"Продаются щенки брюссельского грифона темно рыжего окраса и пти брабансона черный подпал, щенкам мальчикам 2 месяца, ярка маска, правильная голова, хорошая шерсть, зубы 6*6, правильный костяк, клеймо, родословная РКФ, помет от 25 августа 2024 года, щенкам 2 ме...",Москва,27.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/f7/df/48/671171_130x130.jpg
