name,breed,rare_gen,price,description,region,date,image_url
Щенки австралийской овчарки,Австралийская овчарка,False,90000,"Mальчики aуcси (aвстралийская овчaркa). Рoдились в красивую дату 08.08.24. Дoкумeнты РКФ, клeймo, вaкцинaция и oбpaботки по возрaсту. Пoдходят для выставoк и paзвeдения. Очeнь эффeктный oкраc голубой мерль и черный триколор кpасивой маской. Хвостик купирован (...",Новосибирск,21.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/f0/1d/e5/670753_130x130.jpg
Щенки голубых французских бульдогов,Не указано,False,70000,"Добрый день! 10.08 родились очаровательные щенки голубых французских бульдогов. 1 мальчик полностью голубой, 1 девочка и 1 мальчик с белыми галстуками. 3 здоровых щенка. Постепенно буду добавлять новые фото. Они готовы украсить ваш дом милыми мордашками и добр...",Москва,19.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/a0/69/db/670734_130x130.jpg
Щенки голубых французских бульдогов,Не указано,False,70000,"Добрый день! 10.08 родились очаровательные щенки голубых французских бульдогов. 1 мальчик полностью голубой, 1 девочка и 1 мальчик с белыми галстуками. 3 здоровых щенка. Постепенно буду добавлять новые фото. Они готовы украсить ваш дом милыми мордашками и добр...",Москва,19.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/f4/08/e2/670739_130x130.jpg
Сиба ину щенки,Сиба-ину,False,70000,❤️ СИБА ИНУ ЩЕНКИ ❤️ ✅ ОТКРЫТО БРОНИРОВАНИЕ 2 мальчика и девочка Дата рождения: 26. 07. 2024 г. Город: Нижний Новгород ❗️ПОМОЖЕМ ОРГАНИЗОВАТЬ ДОСТАВКУ ПО РОССИИ ❗️,Казань,16.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/14/07/4a/670719_130x130.jpg
Щенки Кавалер кинг чарльз спаниель,Не указано,False,90000,"Красивые щенки Кавалер кинг чарльз спаниель от шикaрной пары. Озорные, подвижные, активные. Прекрaсныe потoмки, дoкумeнты, тecты по здоровью у poдитeлей. Рoждены в кoнцe июня. K пeреезду будут готовы в кoнце сентябpя -в пeрвой полoвинe октябpя. 2 Мальчика, ...",Не указано,16.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/0d/47/ea/670724_130x130.jpg
Такса жесткошерстная -питомник такс &quotИз Ново-Переделкино&quot,Такса (Дексхунд),False,100000,"Племенной питомник ФЦИ/РКФ &quotИз Ново-Переделкино&quot предлагает щенков таксы (стандартного, миниатюрного и кроличьего размера) разного возраста и окраса (кабаньи, черно-подпалые, коричнево-подпалые и мраморные окрасы). Щенки передаются владельцам полнос...",Москва,16.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/4a/48/99/670712_130x130.jpg
Щенки американского питбультерьера,Американский питбультерьер,False,N/A,"Друзья! Продаются щенки Американского питбультерьера (29.06.2024) в любящие ответственные руки. 2 мальчика (шоколадный и палевый окрас), 4 девочки (2 шоколадный и 2 палевый окрас) Телеграмм, t.me/PitbullBarbieChannel ватсапп 89891816401, Дмитрий",Москва,13.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/f1/a8/29/670593_130x130.jpg
Щенки самоеда,Не указано,False,40000,Предлагаются к продаже щенки самоеда мальчики от титулованных родителей. Сделаны все прививки. Документы РКФ. Видео по запросу. Возможна доставка.,Москва,12.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/ef/04/93/670577_130x130.jpg
Щенки бультерьера,Бультерьер,False,100000,"Щенки миниатюрного бультерьера Питомник Мэджик Форс предлагает к продаже щенков миниатюрного бультерьера от достойной пары, проверенной по потомству, с чистыми тестами по здоровью. Мальчики и девочки триколор. Оба родителя с крепкой психикой и отличным характ...",Москва,11.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/49/71/0e/670552_130x130.jpg
Шикарный щенок в добрые руки,Не указано,False,100000,"Замечательный щенок, игривая и ласковая девочка ищет дом . Альма, 5 месяцев , обработана от паразитов, вет. Паспорт имеет. Альма и её братья были выброшены на дороге, к сожалению, выжила только она, остальные щенки погибли под колёсами. Временно она наход...",Москва,11.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/f3/ff/b0/670556_130x130.jpg
маленькая собачка Кекс метис фокстерьера,Фокстерьер жесткошерстый,False,100000,"Москва МО Место знакомства метро Алтуфьево Спасенный Кекс &ndash мега позитивный парень , который очарует вас за 5 секунд знакомства! Метис фокстерьера, возраст 1 год, активный, очень ласковый, ниже колен, 11 кг. К выгулу приучен, обработан, привит пе...",Москва,11.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/92/23/f2/670561_130x130.jpg
жизнерадостная собака ищет дом Рекси,Не указано,False,100000,Москва и область ИМЯ РЕКСИ Пол: сука Возраст: 1 год 5 мес Рост: 65 см Вес: 30,Москва,11.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/07/31/ee/670564_130x130.jpg
Щенки Английского кокера спаниеля,Английский кокер спаниель,False,50000,"В Санкт-Петербурге 20 июля родились чало голубые щенки Английского кокера спаниеля от очень красивой пары Хонора и Ресси с родословной. Щенки отлично выращенные, идеально сложены,ласковые, милые, контактные. Окажем помощь в консультации и выращиванию. Доста...",Санкт-Петербург,11.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/9a/93/96/670570_130x130.jpg
Продам красавицу джек рассела,Джек рассел терьер,False,10000,"Продается красивая, ласковая, активная, девочка породы Джек Рассел терьер. Возраст 10 месяцев. Девочка имеет ветеринарный паспорт. Все обработки проводятся согласно возраста, прививки закрыты до октября. Девочка очень красивая, похожа на Джека из фильма Маска,...",Пенза,10.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/b5/0f/d6/670526_130x130.jpg
Гоборов Игорь Викторович,Не указано,False,132000,"Продается шенок итальянской редкой породы Лаготто РоманьолоБ4 ре месяца,очень ласковый мальчик,с документами и родословной",Не указано,09.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
Такса стандартная жесткошерстная,Такса (Дексхунд),False,60000,Щенки от двух интерчемпионов. Родословная FCI РКФ.,Москва,08.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/0f/d5/bb/670455_130x130.jpg
Такса стандартная жесткошерстная,Такса (Дексхунд),False,60000,Щенки от двух интерчемпионов. Родословная FCI РКФ.,Москва,08.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/0e/8b/20/670460_130x130.jpg
Миниатюрный пудель,Той пудель,True,120000,"Потраченный щенок миниатюрного го пуделя. Красивый, ласковый малыш с прекрасной шерстью и отличной психикой. Шикарный характер! День Рождения 14.01.2024 года. Актирован без брака. Документы РКФ. Родители имеют многочисленные титулы и генетические тесты ...",Москва,05.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2b/9b/68/670384_130x130.jpg
Продаются щенки Аппенцеллер зенненхунд,Не указано,False,60000,"Продаются щенки породы Аппенцеллер зенненхунд. Родители щенков чемпионы и участники РКФ, прошедшие многократные выставки и имеющие соответствующие документы. Щенки все с паспортами и ветеринарными книжками",Не указано,04.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/8d/fd/3f/670124_130x130.jpg
такса жесткошерстная,Такса (Дексхунд),False,100000,"Питомник &quotИз Ново-Переделкино&quot предлагает к продаже щенков таксы жесткошерстной и гладкошерстной разного возраста и окраса. Щенки чипированы, полностью привиты, отлично выращены. Более подробно на сайте питомника и по телефону. Цены разные.",Москва,02.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/57/0d/94/670069_130x130.jpg
"Щенки мини аусси. щенки овчарки, щенки недорого",Миниатюрная австралийская овчарка,False,150000,"Племенной питомник предлагает щенков миниатюрной американской овчарки (миниаусси, массы) и мастер классы по ознакомлению с породами мини аусси, сиба, схипперке. Миниатюрная американская овчарка подойдёт в семью с детьми, как в квартиру так и в частный дом....",Москва,01.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/71/41/f3/669899_130x130.jpg
Щенок Цвергпинчер,Не указано,False,20000,"В продаже мальчик Цвергпинчер (2 месяца). Родился 19.06.2024г., хвостик купирован, темно-подталый окрас, активный, веселый, прививки по возрасту сделаны. Родители чистокровные цвергпинчеры с клеймом и документами.",Ростов-на-Дону,30.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/59/56/ca/669863_130x130.jpg
Щенок Цвергпинчер,Не указано,False,20000,"В продаже мальчик Цвергпинчер (2 месяца). Родился 19.06.2024г., хвостик купирован, темно-подталый окрас, активный, веселый, прививки по возрасту сделаны. Родители чистокровные цвергпинчеры с клеймом и документами.",Ростов-на-Дону,30.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/f9/d5/62/669867_130x130.jpg
Щенок Кавапу,Не указано,False,40000,"Прода&eumlтся щенок Кавапу. Мальчик, 4 месяца, всё прививки сделаны, международный паспорт без родословной, к лотку приучен, активный, умный.(возможна доставка за дополнительную плату)",Таганрог,26.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/63/93/65/669718_130x130.jpg
Мальтипу миниатюраf1,Той пудель,False,60000,"Шикарные миниатюрные малыши мальтипу,правильная вязка,шикарные корейские крови,возраст от 2х.мес. Мальчик карамельный,мальчик чёрный,девочка шоколад,девочка рэд. Все привиты,чипированы, в наличии паспорта.Стоимость от 60тысяч. Помощь в выращивании!!!! Дост...",Не указано,26.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/af/a0/f6/669650_130x130.jpg
Щенок Кавапу,Не указано,False,40000,"Прода&eumlтся щенок Кавапу. Мальчик, 4 месяца, всё прививки сделаны, международный паспорт без родословной, к лотку приучен, активный, умный.(возможна доставка за дополнительную плату)",Таганрог,26.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/72/ef/25/669714_130x130.jpg
Щенок породы уиппет,Уиппет,False,50000,"В связи со слoжившейcя ситуацией, не cвязаннoй с щeнком, пpeдлaгaю щeнкa уиппeтa от прекpасной, здoровoй, титулованнoй пары Дaтa рождeния 2 июня 2024 г. Пoлный пaкeт документов, метpикa PKФ, вeтepинаpный паспорт co всeми нeобходимыми пpививкaми по возраcту,...",Москва,23.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/a0/cc/48/669596_130x130.jpg
Щенки вельш корги пемброк,Вельш корги пемброк (корги пемброк),False,80000,"Предлагаются к предварительному резерву и дальнейшей продажи, щенки вельш корги пемброк. Щенки будут готовы к переезду, в конце сентября. Документы РКФ. От заводчика я предлагаю: всестороннюю помощь, закрытый чат питомника в телеграмме, где мы делимся полезнос...",Таганрог,22.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/db/73/dc/669509_130x130.jpg
Миниатюрный пудель,Не указано,False,150000,"Щенок миниатюрного пуделя черного окраса из моно породного питомника с отличным происхождением. Кобель.День Рождения 14.01.2024 года. Родители оба черного окраса. Территориально Москва. Отец - Юный Чемпион России, Юный Чемпион РКФ, Юный Чемпион НКП, Юный Гран...",Москва,22.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/d4/dc/45/669518_130x130.jpg
Щенки Сиба Ину,Сиба-ину,False,35000,"Продаем щенков Акита Сиба Ину , 1 девочка и 2 мальчика , папа титулованный призёр , родители с клеймом , чистой породы.",Самара,17.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/b0/c7/0d/669233_130x130.jpg
Щенки Сиба Ину,Сиба-ину,False,35000,"Продаем щенков Акита Сиба Ину , 1 девочка и 2 мальчика , папа титулованный призёр , родители с клеймом , чистой породы.",Самара,17.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/53/a4/e9/669237_130x130.jpg
Щенки Сиба Ину,Сиба-ину,False,35000,"Продаем щенков Акита Сиба Ину , 1 девочка и 2 мальчика , папа титулованный призёр , родители с клеймом , чистой породы.",Самара,17.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/5d/75/7b/669241_130x130.jpg
Щенки Сиба Ину,Сиба-ину,False,35000,"Продаем щенков Акита Сиба Ину , 1 девочка и 2 мальчика , папа титулованный призёр , родители с клеймом , чистой породы.",Самара,17.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/5b/a2/3d/669245_130x130.jpg
Щенки бигль,Бигль,False,20000,"Свободна 1 девочка бигль с документами, ветеринарный паспорт и клеймо.",Ярославль,16.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/ae/b6/da/669137_130x130.jpg
Предлагаются щенки йоркширского терьера,Йоркшир терьер,False,55000,"Очаровательные малышки ищут себе родителей. Предлагаются девочки йоркширского терьера с кукольной мордочкой (baby- face) мелкий стандарт от титулованных родителей. Щенки классического английского типа, фантастически красивые, великолепные данные для племенно...",Санкт-Петербург,15.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/e7/1f/5f/669123_130x130.jpg
Продажа породистых щенков,Не указано,False,16500,"В настоящее время в наличии мальчики и девочки мини-мальтипу ф1, готовы к переезду, они будут дарить любовь и радость своим будущим владельцам. Возраст 2,5 месяца, имеют 2 прививки, ветеринарный паспорт и лечение от паразитов. Ожидаемый вес во взрослом...",Не указано,13.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/d1/b9/d1/669016_130x130.jpg
Продажа породистых щенков,Мальтийская болонка,False,15000,"Мальтезе, мальтийская болонка предлагаю щенков, не крупные, веселые, здоровые малыши, без недостатков. Метрика РКФ, клеймо, прививки, вет.паспорт, приучены к лоточку. Дальнейшие консультации от заводчика. Доставка в любой город.",Не указано,13.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/7b/d1/65/669018_130x130.jpg
Очаровательные щенки цвергшнауцера,Миниатюрный шнауцер,True,50000,"Милые, игривые, жизнерадостные детки самого нарядного окраса черный с серебром. От родителей Чемпионов России, проверенных на генетические заболевания (что гарантирует здоровье вашего щенка) Небольшие собаки, рост 30-35 см. Удобные для городской квартиры. Не ...",Екатеринбург,13.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/e9/a8/87/669021_130x130.jpg
Собака из приюта в добрые руки,Не указано,False,N/A,"&quotЕсли не заберете, привяжем его где-нибудь&quot, - именно с этой фразы началась жизнь Пайка в приюте, будучи 3-месячным щенком. И это был счастливый билет, потому что неблагополучная семья, избивавшая мини-Пайка, все же дошла до приюта, а не привязала ег...",Москва,13.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/09/d2/da/669029_130x130.jpg
Щенки чихуахуа,Чихуахуа,False,60000,"Предлагаются щенки для раннего бронирования, на фото верхний ряд мальчики, нижний ряд девочки,будут готовы к переезду в конце сентября, после полной вакцинации и карантина, будут иметь ветпаспорт,клеймо и документы РКФ, и подарочек от Роял Канин. Помощь в дост...",Не указано,10.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/4c/7d/eb/668792_130x130.jpg
Чихуахуа,Чихуахуа,False,9000,"Щенок в Москве, ехать далеко не прийдётся! ❤️ Продаю щенка чихуахуа по кличке Боня.",Не указано,08.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/f8/c8/e7/668528_130x130.jpg
Продам щенков французского бульдога,Не указано,True,100000,"СКОР 10.07.2024 в платной клинике СПб (есть мед. карта и заключение по здоровью до и после рождения). Мама и папа носители цветной генетики без аллергии,свободное дыхание, без генетических дефектов, ничем не болели и живут в домашних условиях. Щенки голубоглаз...",Не указано,06.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/ce/b2/4c/667991_130x130.jpg
Щеночек померанский шпиц в добрые руки,Померанский шпиц,False,20000,"Мини померанский шпиц кремовой окраски, возраст 3 месяца. Откликается на имя Луна. Будущий рост в холке 21см. Имеет микрочип, паспорт, вакцинации сделаны. Приучена к пеленкам, здоровая и хорошее качество шерсти и прикуса. Продается из за неизбежных об...",Москва,02.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/22/44/c3/667709_130x130.jpg
Щенки эрдельтерьера ИЗ ВОРОБИНОГО ГНЕЗДА!,Эрдельтерьер,False,45000,"Продаются перспективные щенки, рождённые 24.05.2024 г. от титулованных родителей. Щенки будут иметь клеймо, документы РКФ, ветпаспорт. Обработка и вакцинация по возрасту. Свободны для резерва 4 девочки и один мальчик. Щенки для выставок, спорта и просто ...",Москва,02.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/f9/62/d1/667762_130x130.jpg
Собака сторожевая 5 лет в хорошие руки,Не указано,False,N/A,"Собака мальчик 5 лет, сторожевая. Отдам в хорошие руки. Черныш окрас черный с белым галстуком. Пухляш окрас коричневый. Жил на улице в будке охранял склад. Прививки сделаны, делались регулярно.",Москва,02.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/45/0f/47/667704_130x130.jpg
Английский сеттер,Английский сеттер,False,30000,"Продаются щенки Английского сеттера, д/р 15.05.2024г. От рабочих производителей, кобель экстерьер Отлично, дипломы 2-3 ст, перепел, куропатка, фазан. Док. РКФ. У суки экстерьер Отлично док. РКФ и РОРС. Щенки, прошли актировку , клеймение, документы РКФ, обрабо...",Не указано,01.08.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/39/af/41/667682_130x130.jpg
вельш корги пемброк сука,Вельш корги пемброк (корги пемброк),False,60000,"Продам девочку щенка корги из питомника от титулованных родителей. Обработана и вaкциниpoвана cоглacно вoзpаcту (вакцина Vanguard, США). Полный комплeкт документов: мeждунaрoдный вeтеринаpный пaспорт, клеймо, мeтpикa PKФ. Девочка, дата рождения 6 Марта. Хвос...",Москва,31.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/12/e4/8e/667474_130x130.jpg
Невероятная собака в добрые руки,Не указано,False,N/A,"накомьтесь - это Бруно. Я встретила его осенью в окрестностях ЗИЛа. С перебитой лапой, он вел жизнь уличного бродяги. Несмотря на наличие собственной собаки (ее тоже подобрала с улицы), я приютила и выходила Бруно. Теперь он полностью здоров, обработан от ...",Москва,31.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/72/ba/41/667497_130x130.jpg
Чихуахуа девочка,Чихуахуа,False,35000,"В продаже девочка Чихуахуа Д.р. 16.01.2024г. Размер стандарт Имеет документы РКФ, Международный ветеринарный паспорт, Клеймо Обработана и полностью готова к переезду в новый дом Для разведения не подходит по прикусу",Москва,30.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/0d/d4/e7/667422_130x130.jpg
Чихуахуа девочка,Чихуахуа,False,35000,"В продаже девочка Чихуахуа Д.р. 16.01.2024г. Размер стандарт Имеет документы РКФ, Международный ветеринарный паспорт, Клеймо Обработана и полностью готова к переезду в новый дом Для разведения не подходит по прикусу",Москва,30.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/52/c5/d9/667427_130x130.jpg
Качественные породистые щенки чихуа хуа,Чихуахуа,True,60000,"Предлагается к продаже чудесный качественный щенок чихуа-хуа. Кобель, рождён 04.02.2024 от роскошных привозных производителей с отличной генетикой и уравновешенным характером. Гладкошерстный, кобби-тип (яблочный), бебифейс, большие красивые глазки, окрас ярко-...",Москва,29.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/8b/de/a7/667389_130x130.jpg
Собака сторожевая 5 лет в хорошие руки,Не указано,False,N/A,"Собака мальчик 5 лет, сторожевая. Отдам в хорошие руки. Черныш окрас черный с белым галстуком. Пухляш окрас коричневый. Жил на улице в будке охранял склад. Прививки сделаны, делались регулярно.",Москва,29.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/f8/7d/73/667408_130x130.jpg
Щенки гладкошерстной таксы минниатюр.,Такса (Дексхунд),False,18000,"Продаются щенки гладкошерстной миниаюрной таксы , редкого тигрового окраса- 2 - тигровые девочки и 1- рыжий мальчик.Рожденные 15.06.2024г..Щенки проглистог., привиты по возрасту комплексной прививкой, сделаны Вет. Паспорта.Кушают сухой корм, приучены к пеленке...",Москва,28.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/9b/da/2f/667383_130x130.jpg
Померанский мини-шпиц,Померанский шпиц,False,70000,"Здравствуйте! Рыжик из Благовещенска (Амур.обл) ищет новую семью! Малыш долгое время находился в клеточном содержании у заводчика. Померанский шпиц-мини. Чистокровный. Родился 15.05.2023. Вес полтора килограмма. Имеет паспорт, привит. Умный и очень общитель...",Не указано,25.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/a7/51/11/667270_130x130.jpg
Щенки ротвейлера,Ротвейлер,False,75000,"Стартовая цена указана ниже.Мы подберем вам отличного малыша породы ротвейлер,стоимость определяется классностью и предназначением(в качестве домашнего любимца или для выставок и спорта).Щенки разнополые,вакцинированы,имеют клеймо,документы ркф ,идеально выра...",Не указано,25.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/a7/00/e6/667278_130x130.jpg
Щенки чихуахуа ркф,Чихуахуа,False,30000,"Пять щенков чихуахуа, дата рождения 16.05.24, город Брянск , ркф, прививки, титулованные родители, готовы к переезду",Не указано,23.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/22/27/7f/666999_130x130.jpg
Джек Рассел,Джек рассел терьер,False,10000,". Продаю щенка Джек Рассел терьера. Мальчик. 3 месяца, очень ласковый и игривый, приучен к пеленке, ест корм. Сделана сыворотка Гискан-5 и суспензия от глистов.",Воронеж,21.07.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/f4/53/666543_130x130.jpg
